# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.clear.count,1739437623242000000,1739437636014000000,0
workspaceModel.pre.handlers.ms,1739437623242000000,1739437636014000000,0
workspaceModel.initializing.ms,1739437623242000000,1739437636014000000,1
workspaceModel.updates.ms,1739437623242000000,1739437636014000000,38
workspaceModel.cachedValue.clear.count,1739437623242000000,1739437636014000000,5
workspaceModel.updates.precise.ms,1739437623242000000,1739437636014000000,7
workspaceModel.check.recursive.update.ms,1739437623242000000,1739437636014000000,1
workspaceModel.cachedValue.calculated.count,1739437623242000000,1739437636014000000,155
workspaceModel.update.unloaded.entities.ms,1739437623242000000,1739437636014000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739437623242000000,1739437636014000000,172
workspaceModel.on.changed.ms,1739437623242000000,1739437636014000000,11
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739437623242000000,1739437636014000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1739437623242000000,1739437636014000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739437623242000000,1739437636014000000,3513
workspaceModel.to.snapshot.ms,1739437623242000000,1739437636014000000,1
workspaceModel.collect.changes.ms,1739437623242000000,1739437636014000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739437623242000000,1739437636014000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739437623242000000,1739437636014000000,7
workspaceModel.cachedValue.total.get.count,1739437623242000000,1739437636014000000,9356
workspaceModel.workspaceFileIndexData.instances.count,1739437623242000000,1739437636014000000,1
workspaceModel.loading.from.cache.ms,1739437623242000000,1739437636014000000,133
workspaceModel.entityStorageSnapshotImpl.instances.count,1739437623242000000,1739437636014000000,22
workspaceModel.on.before.changed.ms,1739437623242000000,1739437636014000000,16
workspaceModel.replace.project.model.ms,1739437623242000000,1739437636014000000,2
workspaceModel.full.replace.project.model.ms,1739437623242000000,1739437636014000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1739437623242000000,1739437636014000000,0
workspaceModel.workspaceFileIndexData.init.ms,1739437623242000000,1739437636014000000,91
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739437623242000000,1739437636014000000,24
workspaceModel.loading.total.ms,1739437623242000000,1739437636014000000,138
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739437623242000000,1739437636014000000,14
workspaceModel.cachedValueWithParameters.from.cache.count,1739437623242000000,1739437636014000000,0
workspaceModel.updates.count,1739437623242000000,1739437636014000000,9
workspaceModel.init.bridges.ms,1739437623242000000,1739437636014000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739437623242000000,1739437636014000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1739437623242000000,1739437636014000000,0
workspaceModel.cachedValue.from.cache.count,1739437623242000000,1739437636014000000,9201
Indexes.entries.lookupDurationMaxMs,1739437623242000000,1739437636014000000,0.0
Indexes.stubs.lookups,1739437623242000000,1739437636014000000,1211
Indexes.entries.lookups,1739437623242000000,1739437636014000000,98
Indexes.allKeys.lookupDurationAvgMs,1739437623242000000,1739437636014000000,0.0
Indexes.stubs.lookupDuration90PMs,1739437623242000000,1739437636014000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1739437623242000000,1739437636014000000,0.0
Indexes.allKeys.lookups,1739437623242000000,1739437636014000000,0
Indexes.entries.lookupDurationAvgMs,1739437623242000000,1739437636014000000,0.0
Indexes.allKeys.lookupDuration90PMs,1739437623242000000,1739437636014000000,0.0
Indexes.stubs.lookupDurationAvgMs,1739437623242000000,1739437636014000000,0.0
Indexes.entries.lookupDuration90PMs,1739437623242000000,1739437636014000000,0.0
Indexes.stubs.lookupDurationMaxMs,1739437623242000000,1739437636014000000,0.0
DirectByteBufferAllocator.hits,1739437623242000000,1739437636014000000,3
FilePageCacheLockFree.totalPagesHandedOver,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalPagesWriteMs,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1739437623242000000,1739437636014000000,0
DirectByteBufferAllocator.misses,1739437623242000000,1739437636014000000,232
FilePageCacheLockFree.totalPagesRequested,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1739437623242000000,1739437636014000000,0
StorageLockContext.competingThreads.max,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalBytesRequested,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1739437623242000000,1739437636014000000,0
DirectByteBufferAllocator.reclaimed,1739437623242000000,1739437636014000000,46
StorageLockContext.competingThreads.avg,1739437623242000000,1739437636014000000,0.0
FilePageCache.pageLoads,1739437623242000000,1739437636014000000,235
FilePageCacheLockFree.nativeBytesInUse,1739437623242000000,1739437636014000000,0
FilePageCache.pageHits,1739437623242000000,1739437636014000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalPagesAllocated,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalBytesRead,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.heapBytesInUse,1739437623242000000,1739437636014000000,0
FilePageCache.maxCacheSizeInBytes,1739437623242000000,1739437636014000000,240148480
FilePageCache.uncachedFileAccess,1739437623242000000,1739437636014000000,138
DirectByteBufferAllocator.disposed,1739437623242000000,1739437636014000000,189
FilePageCacheLockFree.totalPagesReadMs,1739437623242000000,1739437636014000000,0
FilePageCache.capacityInBytes,1739437623242000000,1739437636014000000,503316478
FilePageCache.disposedBuffers,1739437623242000000,1739437636014000000,235
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1739437623242000000,1739437636014000000,41967616
FilePageCache.totalPageDisposalsUs,1739437623242000000,1739437636014000000,776
FilePageCacheLockFree.housekeeperTurnsDone,1739437623242000000,1739437636014000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1739437623242000000,1739437636014000000,0
