# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1739436049097000000,1739436056564000000,15
cacheStateStorage.get.duration,1739436049097000000,1739436056564000000,142
cacheStateStorage.set.counter,1739436049097000000,1739436056564000000,9
cacheStateStorage.set.duration,1739436049097000000,1739436056564000000,3
NonBlockingReadAction.finalizedExecutionTimeUs,1739436049097000000,1739436056564000000,508410
NonBlockingReadAction.finalizedExecutionsCount,1739436049097000000,1739436056564000000,165
NonBlockingReadAction.failedExecutionTimeUs,1739436049097000000,1739436056564000000,100148
NonBlockingReadAction.failedExecutionsCount,1739436049097000000,1739436056564000000,16
workspaceModel.cachedValueWithParameters.clear.count,1739436049097000000,1739436056564000000,0
workspaceModel.replace.project.model.ms,1739436049097000000,1739436056564000000,1
workspaceModel.loading.total.ms,1739436049097000000,1739436056564000000,56
workspaceModel.check.recursive.update.ms,1739436049097000000,1739436056564000000,1
workspaceModel.workspaceFileIndexData.init.ms,1739436049097000000,1739436056564000000,68
workspaceModel.on.changed.ms,1739436049097000000,1739436056564000000,9
workspaceModel.cachedValue.from.cache.count,1739436049097000000,1739436056564000000,6538
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739436049097000000,1739436056564000000,105
workspaceModel.cachedValueWithParameters.calculated.count,1739436049097000000,1739436056564000000,0
workspaceModel.cachedValue.calculated.count,1739436049097000000,1739436056564000000,163
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739436049097000000,1739436056564000000,87
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739436049097000000,1739436056564000000,0
workspaceModel.cachedValue.total.get.count,1739436049097000000,1739436056564000000,6701
workspaceModel.cachedValue.clear.count,1739436049097000000,1739436056564000000,10
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739436049097000000,1739436056564000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739436049097000000,1739436056564000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1739436049097000000,1739436056564000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1739436049097000000,1739436056564000000,0
workspaceModel.updates.precise.ms,1739436049097000000,1739436056564000000,8
workspaceModel.init.bridges.ms,1739436049097000000,1739436056564000000,1
workspaceModel.update.unloaded.entities.ms,1739436049097000000,1739436056564000000,0
workspaceModel.collect.changes.ms,1739436049097000000,1739436056564000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739436049097000000,1739436056564000000,2
workspaceModel.updates.ms,1739436049097000000,1739436056564000000,35
workspaceModel.loading.from.cache.ms,1739436049097000000,1739436056564000000,54
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739436049097000000,1739436056564000000,37
workspaceModel.cachedValueWithParameters.from.cache.count,1739436049097000000,1739436056564000000,0
workspaceModel.initializing.ms,1739436049097000000,1739436056564000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1739436049097000000,1739436056564000000,21
workspaceModel.full.replace.project.model.ms,1739436049097000000,1739436056564000000,0
workspaceModel.on.before.changed.ms,1739436049097000000,1739436056564000000,14
workspaceModel.updates.count,1739436049097000000,1739436056564000000,9
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739436049097000000,1739436056564000000,137
workspaceModel.to.snapshot.ms,1739436049097000000,1739436056564000000,2
