# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.dropMappings.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactManagerBridge.commit.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1739436418852000000,1739436432081000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1739436418852000000,1739436432081000000,0
VFS.invertedFileNameIndex.requests,1739436418852000000,1739436432081000000,4
VFS.fileByIdCache.hits,1739436418852000000,1739436432081000000,0
VFS.fileChildByName,1739436418852000000,1739436432081000000,81592
VFS.fileByIdCache.misses,1739436418852000000,1739436432081000000,214493
JVM.maxThreadCount,1739436418852000000,1739436432081000000,263
JVM.totalSafepointCount,1739436418852000000,1739436432081000000,232
JVM.totalDirectByteBuffersBytes,1739436418852000000,1739436432081000000,47575839
JVM.usedHeapBytes,1739436418852000000,1739436432081000000,598755752
JVM.totalTimeToSafepointsMs,1739436418852000000,1739436432081000000,32
JVM.GC.collections,1739436418852000000,1739436432081000000,60
JVM.totalCpuTimeMs,1739436418852000000,1739436432081000000,89757
OS.loadAverage,1739436418852000000,1739436432081000000,3.40625
JVM.maxHeapBytes,1739436418852000000,1739436432081000000,2147483648
JVM.newThreadsCount,1739436418852000000,1739436432081000000,316
JVM.GC.collectionTimesMs,1739436418852000000,1739436432081000000,314
JVM.threadCount,1739436418852000000,1739436432081000000,234
JVM.totalBytesAllocated,1739436418852000000,1739436432081000000,3256577728
JVM.totalTimeAtSafepointsMs,1739436418852000000,1739436432081000000,330
JVM.usedNativeBytes,1739436418852000000,1739436432081000000,510438888
Indexes.entries.lookups,1739436418852000000,1739436432081000000,139
Indexes.stubs.lookupDurationAvgMs,1739436418852000000,1739436432081000000,0.0
Indexes.allKeys.lookupDuration90PMs,1739436418852000000,1739436432081000000,0.0
Indexes.allKeys.lookups,1739436418852000000,1739436432081000000,0
Indexes.entries.lookupDurationAvgMs,1739436418852000000,1739436432081000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1739436418852000000,1739436432081000000,0.0
Indexes.entries.lookupDurationMaxMs,1739436418852000000,1739436432081000000,0.0
Indexes.stubs.lookups,1739436418852000000,1739436432081000000,2383
Indexes.allKeys.lookupDurationAvgMs,1739436418852000000,1739436432081000000,0.0
Indexes.stubs.lookupDuration90PMs,1739436418852000000,1739436432081000000,0.0
Indexes.stubs.lookupDurationMaxMs,1739436418852000000,1739436432081000000,0.0
Indexes.entries.lookupDuration90PMs,1739436418852000000,1739436432081000000,0.0
FilePageCacheLockFree.totalPagesHandedOver,1739436418852000000,1739436432081000000,0
FilePageCacheLockFree.totalPagesAllocated,1739436418852000000,1739436432081000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1739436418852000000,1739436432081000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1739436418852000000,1739436432081000000,41959424
FilePageCacheLockFree.totalNativeBytesReclaimed,1739436418852000000,1739436432081000000,0
FilePageCacheLockFree.totalPagesReadMs,1739436418852000000,1739436432081000000,0
FilePageCache.maxRegisteredFiles,1739436418852000000,1739436432081000000,466
FilePageCacheLockFree.totalPagesWriteMs,1739436418852000000,1739436432081000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1739436418852000000,1739436432081000000,41959424
FilePageCacheLockFree.heapBytesInUse,1739436418852000000,1739436432081000000,0
FilePageCacheLockFree.nativeBytesInUse,1739436418852000000,1739436432081000000,0
FilePageCache.pageLoads,1739436418852000000,1739436432081000000,275
DirectByteBufferAllocator.misses,1739436418852000000,1739436432081000000,272
FilePageCacheLockFree.totalHeapBytesReclaimed,1739436418852000000,1739436432081000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1739436418852000000,1739436432081000000,0
FilePageCache.pageHits,1739436418852000000,1739436432081000000,0
FilePageCache.pageFastCacheHits,1739436418852000000,1739436432081000000,5688
FilePageCache.totalPageDisposalsUs,1739436418852000000,1739436432081000000,1093
FilePageCache.totalPageLoadsUs,1739436418852000000,1739436432081000000,192902
FilePageCacheLockFree.totalPagesRequested,1739436418852000000,1739436432081000000,0
DirectByteBufferAllocator.disposed,1739436418852000000,1739436432081000000,230
FilePageCacheLockFree.totalPagesWritten,1739436418852000000,1739436432081000000,0
FilePageCache.maxCacheSizeInBytes,1739436418852000000,1739436432081000000,283131904
FilePageCacheLockFree.housekeeperTimeSpentMs,1739436418852000000,1739436432081000000,0
FilePageCacheLockFree.totalBytesWritten,1739436418852000000,1739436432081000000,0
DirectByteBufferAllocator.hits,1739436418852000000,1739436432081000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1739436418852000000,1739436432081000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1739436418852000000,1739436432081000000,0
FilePageCache.disposedBuffers,1739436418852000000,1739436432081000000,275
FilePageCacheLockFree.totalPageAllocationsWaited,1739436418852000000,1739436432081000000,0
StorageLockContext.competingThreads.90P,1739436418852000000,1739436432081000000,0
