# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1739436834193000000,1739436894251000000,7
NonBlockingReadAction.finalizedExecutionTimeUs,1739436834193000000,1739436894251000000,1091400
NonBlockingReadAction.finalizedExecutionsCount,1739436834193000000,1739436894251000000,384
ReadAction.executionsCount,1739436834193000000,1739436894251000000,697431
WriteAction.executionsCount,1739436834193000000,1739436894251000000,36
NonBlockingReadAction.failedExecutionTimeUs,1739436834193000000,1739436894251000000,175161
FileNameCache.queries,1739436834193000000,1739436894251000000,5766336
VFS.contentStorage.recordsDeduplicated,1739436834193000000,1739436894251000000,0
VFS.fileChildByName,1739436834193000000,1739436894251000000,126849
VFS.fileByIdCache.misses,1739436834193000000,1739436894251000000,216796
VFS.contentStorage.recordsUncompressedSize,1739436834193000000,1739436894251000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1739436834193000000,1739436894251000000,23162
VFS.contentStorage.recordsRead,1739436834193000000,1739436894251000000,206
VFS.contentStorage.recordsReadSize,1739436834193000000,1739436894251000000,1649285
VFS.fileByIdCache.hits,1739436834193000000,1739436894251000000,0
VFS.contentStorage.recordsStored,1739436834193000000,1739436894251000000,0
VFS.contentStorage.recordsStoredSize,1739436834193000000,1739436894251000000,0
FileNameCache.totalMisses,1739436834193000000,1739436894251000000,336832
VFS.contentStorage.recordsStoredCompressed,1739436834193000000,1739436894251000000,0
VFS.contentStorage.recordsReadDecompressed,1739436834193000000,1739436894251000000,18
VFS.invertedFileNameIndex.requests,1739436834193000000,1739436894251000000,4
lexer.HTML.size.bytes,1739436834193000000,1739436894251000000,2558
lexer.JAVA.size.bytes,1739436834193000000,1739436894251000000,188196
parser.HTML.time.ns,1739436834193000000,1739436894251000000,6283282
lexer.TOML.time.ns,1739436834193000000,1739436894251000000,235930
writeAction.count,1739436834193000000,1739436894251000000,36
writeAction.max.wait.ms,1739436834193000000,1739436894251000000,143
writeAction.median.wait.ms,1739436834193000000,1739436894251000000,100
writeAction.wait.ms,1739436834193000000,1739436894251000000,350
lexer.XML.time.ns,1739436834193000000,1739436894251000000,343980
parser.JAVA.time.ns,1739436834193000000,1739436894251000000,166124258
parser.XML.size.bytes,1739436834193000000,1739436894251000000,1282
lexer.JAVA.time.ns,1739436834193000000,1739436894251000000,36965555
lexer.XML.size.bytes,1739436834193000000,1739436894251000000,1282
parser.XML.time.ns,1739436834193000000,1739436894251000000,736901
lexer.TOML.size.bytes,1739436834193000000,1739436894251000000,1294
parser.JAVA.size.bytes,1739436834193000000,1739436894251000000,188196
parser.TOML.time.ns,1739436834193000000,1739436894251000000,7720073
parser.TOML.size.bytes,1739436834193000000,1739436894251000000,1294
lexer.HTML.time.ns,1739436834193000000,1739436894251000000,1733591
parser.HTML.size.bytes,1739436834193000000,1739436894251000000,2558
compiler.ArtifactManagerBridge.findArtifact.ms,1739436834193000000,1739436894251000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1739436834193000000,1739436894251000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1739436834193000000,1739436894251000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1739436834193000000,1739436894251000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1739436834193000000,1739436894251000000,0
compiler.ArtifactManagerBridge.commit.ms,1739436834193000000,1739436894251000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1739436834193000000,1739436894251000000,0
workspaceModel.init.bridges.ms,1739436834193000000,1739436894251000000,1
workspaceModel.on.before.changed.ms,1739436834193000000,1739436894251000000,13
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739436834193000000,1739436894251000000,132
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739436834193000000,1739436894251000000,0
workspaceModel.initializing.ms,1739436834193000000,1739436894251000000,1
workspaceModel.on.changed.ms,1739436834193000000,1739436894251000000,11
workspaceModel.cachedValueWithParameters.from.cache.count,1739436834193000000,1739436894251000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1739436834193000000,1739436894251000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739436834193000000,1739436894251000000,29
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739436834193000000,1739436894251000000,4753
workspaceModel.cachedValue.clear.count,1739436834193000000,1739436894251000000,0
workspaceModel.cachedValue.from.cache.count,1739436834193000000,1739436894251000000,7306
workspaceModel.loading.from.cache.ms,1739436834193000000,1739436894251000000,54
workspaceModel.loading.total.ms,1739436834193000000,1739436894251000000,57
workspaceModel.update.unloaded.entities.ms,1739436834193000000,1739436894251000000,0
workspaceModel.pre.handlers.ms,1739436834193000000,1739436894251000000,0
workspaceModel.workspaceFileIndexData.instances.count,1739436834193000000,1739436894251000000,1
workspaceModel.collect.changes.ms,1739436834193000000,1739436894251000000,0
workspaceModel.full.replace.project.model.ms,1739436834193000000,1739436894251000000,2
workspaceModel.workspaceFileIndexData.init.ms,1739436834193000000,1739436894251000000,66
workspaceModel.cachedValue.total.get.count,1739436834193000000,1739436894251000000,7609
workspaceModel.to.snapshot.ms,1739436834193000000,1739436894251000000,0
workspaceModel.check.recursive.update.ms,1739436834193000000,1739436894251000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739436834193000000,1739436894251000000,127
workspaceModel.entityStorageSnapshotImpl.instances.count,1739436834193000000,1739436894251000000,28
workspaceModel.cachedValueWithParameters.total.get.count,1739436834193000000,1739436894251000000,0
workspaceModel.updates.count,1739436834193000000,1739436894251000000,9
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739436834193000000,1739436894251000000,67
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739436834193000000,1739436894251000000,0
workspaceModel.cachedValueWithParameters.clear.count,1739436834193000000,1739436894251000000,0
workspaceModel.cachedValue.calculated.count,1739436834193000000,1739436894251000000,303
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739436834193000000,1739436894251000000,0
