# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.check.recursive.update.ms,1739438742766000000,1739438769107000000,0
workspaceModel.pre.handlers.ms,1739438742766000000,1739438769107000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739438742766000000,1739438769107000000,31
workspaceModel.cachedValue.total.get.count,1739438742766000000,1739438769107000000,5676
workspaceModel.collect.changes.ms,1739438742766000000,1739438769107000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739438742766000000,1739438769107000000,120
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739438742766000000,1739438769107000000,0
workspaceModel.loading.from.cache.ms,1739438742766000000,1739438769107000000,60
workspaceModel.cachedValue.from.cache.count,1739438742766000000,1739438769107000000,5373
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739438742766000000,1739438769107000000,0
workspaceModel.cachedValue.calculated.count,1739438742766000000,1739438769107000000,303
workspaceModel.replace.project.model.ms,1739438742766000000,1739438769107000000,2
workspaceModel.to.snapshot.ms,1739438742766000000,1739438769107000000,0
workspaceModel.cachedValue.clear.count,1739438742766000000,1739438769107000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1739438742766000000,1739438769107000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1739438742766000000,1739438769107000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1739438742766000000,1739438769107000000,28
workspaceModel.on.changed.ms,1739438742766000000,1739438769107000000,11
workspaceModel.updates.ms,1739438742766000000,1739438769107000000,31
workspaceModel.full.replace.project.model.ms,1739438742766000000,1739438769107000000,3
workspaceModel.init.bridges.ms,1739438742766000000,1739438769107000000,1
workspaceModel.on.before.changed.ms,1739438742766000000,1739438769107000000,11
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739438742766000000,1739438769107000000,64
workspaceModel.workspaceFileIndexData.instances.count,1739438742766000000,1739438769107000000,1
workspaceModel.loading.total.ms,1739438742766000000,1739438769107000000,62
workspaceModel.update.unloaded.entities.ms,1739438742766000000,1739438769107000000,0
workspaceModel.workspaceFileIndexData.init.ms,1739438742766000000,1739438769107000000,71
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739438742766000000,1739438769107000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1739438742766000000,1739438769107000000,0
workspaceModel.initializing.ms,1739438742766000000,1739438769107000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739438742766000000,1739438769107000000,3505
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739438742766000000,1739438769107000000,137
workspaceModel.cachedValueWithParameters.clear.count,1739438742766000000,1739438769107000000,0
workspaceModel.updates.count,1739438742766000000,1739438769107000000,9
workspaceModel.workspaceFileIndexData.markDirty.ms,1739438742766000000,1739438769107000000,0
workspaceModel.updates.precise.ms,1739438742766000000,1739438769107000000,8
parser.TOML.time.ns,1739438742766000000,1739438769107000000,6948372
lexer.JAVA.time.ns,1739438742766000000,1739438769107000000,8021543
writeAction.wait.ms,1739438742766000000,1739438769107000000,195
parser.TOML.size.bytes,1739438742766000000,1739438769107000000,1294
parser.XML.size.bytes,1739438742766000000,1739438769107000000,1282
writeAction.max.wait.ms,1739438742766000000,1739438769107000000,79
parser.JAVA.size.bytes,1739438742766000000,1739438769107000000,173717
writeAction.count,1739438742766000000,1739438769107000000,32
lexer.HTML.time.ns,1739438742766000000,1739438769107000000,5966003
lexer.XML.time.ns,1739438742766000000,1739438769107000000,447560
parser.JAVA.time.ns,1739438742766000000,1739438769107000000,229799411
lexer.HTML.size.bytes,1739438742766000000,1739438769107000000,1279
parser.HTML.size.bytes,1739438742766000000,1739438769107000000,1279
parser.XML.time.ns,1739438742766000000,1739438769107000000,6581333
lexer.XML.size.bytes,1739438742766000000,1739438769107000000,1282
lexer.TOML.size.bytes,1739438742766000000,1739438769107000000,1294
parser.HTML.time.ns,1739438742766000000,1739438769107000000,7971753
writeAction.median.wait.ms,1739438742766000000,1739438769107000000,0
lexer.JAVA.size.bytes,1739438742766000000,1739438769107000000,173717
lexer.TOML.time.ns,1739438742766000000,1739438769107000000,267960
ReadAction.executionsCount,1739438742766000000,1739438769107000000,567985
NonBlockingReadAction.finalizedExecutionTimeUs,1739438742766000000,1739438769107000000,850452
NonBlockingReadAction.failedExecutionsCount,1739438742766000000,1739438769107000000,6
