# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1739438586112000000,1739438646168000000,34
WriteAction.executionsCount,1739438586112000000,1739438646168000000,128
NonBlockingReadAction.finalizedExecutionsCount,1739438586112000000,1739438646168000000,1019
NonBlockingReadAction.failedExecutionTimeUs,1739438586112000000,1739438646168000000,242255
ReadAction.executionsCount,1739438586112000000,1739438646168000000,1031496
NonBlockingReadAction.finalizedExecutionTimeUs,1739438586112000000,1739438646168000000,1427360
cacheStateStorage.get.counter,1739438586112000000,1739438646168000000,59
cacheStateStorage.set.counter,1739438586112000000,1739438646168000000,4
cacheStateStorage.get.duration,1739438586112000000,1739438646168000000,177
cacheStateStorage.set.duration,1739438586112000000,1739438646168000000,12
Indexes.allKeys.lookupDurationAvgMs,1739438586112000000,1739438646168000000,0.0
IndexesFlusher.totalFlushes,1739438586112000000,1739438646168000000,59
IndexesFlusher.totalFlushingTimeUs,1739438586112000000,1739438646168000000,32996
IndexesFlusher.totalContentionQuotaSpent,1739438586112000000,1739438646168000000,0
Indexes.allKeys.lookupDuration90PMs,1739438586112000000,1739438646168000000,0.0
IndexesFlusher.totalFlushesRetried,1739438586112000000,1739438646168000000,0
Indexes.stubs.lookupDurationMaxMs,1739438586112000000,1739438646168000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1739438586112000000,1739438646168000000,0.0
Indexes.entries.lookupDurationMaxMs,1739438586112000000,1739438646168000000,0.0
Indexes.stubs.lookupDurationAvgMs,1739438586112000000,1739438646168000000,0.0
Indexes.entries.lookups,1739438586112000000,1739438646168000000,3804
Indexes.allKeys.lookups,1739438586112000000,1739438646168000000,9
Indexes.entries.lookupDurationAvgMs,1739438586112000000,1739438646168000000,0.0
Indexes.stubs.lookups,1739438586112000000,1739438646168000000,31943
Indexes.entries.lookupDuration90PMs,1739438586112000000,1739438646168000000,0.0
Indexes.stubs.lookupDuration90PMs,1739438586112000000,1739438646168000000,0.0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739438586112000000,1739438646168000000,5090
workspaceModel.cachedValue.clear.count,1739438586112000000,1739438646168000000,0
workspaceModel.updates.precise.ms,1739438586112000000,1739438646168000000,5
workspaceModel.loading.total.ms,1739438586112000000,1739438646168000000,59
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1739438586112000000,1739438646168000000,0
workspaceModel.cachedValueWithParameters.clear.count,1739438586112000000,1739438646168000000,0
workspaceModel.update.unloaded.entities.ms,1739438586112000000,1739438646168000000,0
workspaceModel.cachedValue.calculated.count,1739438586112000000,1739438646168000000,714
workspaceModel.updates.count,1739438586112000000,1739438646168000000,9
workspaceModel.on.before.changed.ms,1739438586112000000,1739438646168000000,14
workspaceModel.cachedValue.from.cache.count,1739438586112000000,1739438646168000000,45386
workspaceModel.init.bridges.ms,1739438586112000000,1739438646168000000,1
workspaceModel.to.snapshot.ms,1739438586112000000,1739438646168000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1739438586112000000,1739438646168000000,0
workspaceModel.workspaceFileIndexData.instances.count,1739438586112000000,1739438646168000000,1
workspaceModel.workspaceFileIndexData.init.ms,1739438586112000000,1739438646168000000,71
workspaceModel.cachedValueWithParameters.calculated.count,1739438586112000000,1739438646168000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1739438586112000000,1739438646168000000,211
workspaceModel.updates.ms,1739438586112000000,1739438646168000000,31
workspaceModel.entityStorageSnapshotImpl.instances.count,1739438586112000000,1739438646168000000,28
workspaceModel.on.changed.ms,1739438586112000000,1739438646168000000,40
workspaceModel.collect.changes.ms,1739438586112000000,1739438646168000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1739438586112000000,1739438646168000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1739438586112000000,1739438646168000000,0
workspaceModel.check.recursive.update.ms,1739438586112000000,1739438646168000000,0
workspaceModel.loading.from.cache.ms,1739438586112000000,1739438646168000000,58
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1739438586112000000,1739438646168000000,138
workspaceModel.replace.project.model.ms,1739438586112000000,1739438646168000000,1
workspaceModel.initializing.ms,1739438586112000000,1739438646168000000,1
workspaceModel.workspaceFileIndexData.getPackageName.ms,1739438586112000000,1739438646168000000,56
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1739438586112000000,1739438646168000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1739438586112000000,1739438646168000000,0
workspaceModel.cachedValue.total.get.count,1739438586112000000,1739438646168000000,46100
workspaceModel.pre.handlers.ms,1739438586112000000,1739438646168000000,1
workspaceModel.full.replace.project.model.ms,1739438586112000000,1739438646168000000,34
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1739438586112000000,1739438646168000000,7
lexer.JAVA.time.ns,1739438586112000000,1739438646168000000,13966606
parser.JSON.time.ns,1739438586112000000,1739438646168000000,221710
parser.TOML.size.bytes,1739438586112000000,1739438646168000000,1294
lexer.JAVA.size.bytes,1739438586112000000,1739438646168000000,409773
writeAction.median.wait.ms,1739438586112000000,1739438646168000000,100
lexer.XML.time.ns,1739438586112000000,1739438646168000000,437770
parser.HTML.time.ns,1739438586112000000,1739438646168000000,3660711
lexer.JSON.size.bytes,1739438586112000000,1739438646168000000,0
writeAction.wait.ms,1739438586112000000,1739438646168000000,890
parser.XML.size.bytes,1739438586112000000,1739438646168000000,1282
lexer.JSON.time.ns,1739438586112000000,1739438646168000000,24240
parser.JAVA.time.ns,1739438586112000000,1739438646168000000,245853341
parser.HTML.size.bytes,1739438586112000000,1739438646168000000,8501
lexer.TOML.size.bytes,1739438586112000000,1739438646168000000,1294
writeAction.max.wait.ms,1739438586112000000,1739438646168000000,672
lexer.HTML.time.ns,1739438586112000000,1739438646168000000,3102772
parser.JSON.size.bytes,1739438586112000000,1739438646168000000,0
lexer.HTML.size.bytes,1739438586112000000,1739438646168000000,8501
lexer.TOML.time.ns,1739438586112000000,1739438646168000000,236901
lexer.XML.size.bytes,1739438586112000000,1739438646168000000,1282
parser.JAVA.size.bytes,1739438586112000000,1739438646168000000,409773
parser.XML.time.ns,1739438586112000000,1739438646168000000,6176012
parser.TOML.time.ns,1739438586112000000,1739438646168000000,6989593
writeAction.count,1739438586112000000,1739438646168000000,128
JVM.totalDirectByteBuffersBytes,1739438586112000000,1739438646168000000,334110696
JVM.newThreadsCount,1739438586112000000,1739438646168000000,314
JVM.maxHeapBytes,1739438586112000000,1739438646168000000,2147483648
JVM.usedNativeBytes,1739438586112000000,1739438646168000000,683628152
JVM.GC.collectionTimesMs,1739438586112000000,1739438646168000000,591
JVM.GC.collections,1739438586112000000,1739438646168000000,94
JVM.usedHeapBytes,1739438586112000000,1739438646168000000,647611656
JVM.totalTimeToSafepointsMs,1739438586112000000,1739438646168000000,39
JVM.totalTimeAtSafepointsMs,1739438586112000000,1739438646168000000,626
JVM.totalSafepointCount,1739438586112000000,1739438646168000000,431
OS.loadAverage,1739438586112000000,1739438646168000000,2.052734375
JVM.totalBytesAllocated,1739438586112000000,1739438646168000000,8293884776
JVM.threadCount,1739438586112000000,1739438646168000000,286
JVM.maxThreadCount,1739438586112000000,1739438646168000000,288
JVM.totalCpuTimeMs,1739438586112000000,1739438646168000000,144584
jps.module.iml.entities.serializer.save.entities.ms,1739438586112000000,1739438646168000000,0
jps.module.iml.entities.serializer.load.entities.ms,1739438586112000000,1739438646168000000,158
