# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalSafepointCount,1739438381445000000,1739438441497000000,296
JVM.totalCpuTimeMs,1739438381445000000,1739438441497000000,92746
JVM.totalTimeToSafepointsMs,1739438381445000000,1739438441497000000,55
JVM.newThreadsCount,1739438381445000000,1739438441497000000,282
JVM.usedHeapBytes,1739438381445000000,1739438441497000000,577664416
JVM.totalTimeAtSafepointsMs,1739438381445000000,1739438441497000000,364
JVM.GC.collectionTimesMs,1739438381445000000,1739438441497000000,347
JVM.usedNativeBytes,1739438381445000000,1739438441497000000,490238032
JVM.totalDirectByteBuffersBytes,1739438381445000000,1739438441497000000,239146462
JVM.maxThreadCount,1739438381445000000,1739438441497000000,261
JVM.totalBytesAllocated,1739438381445000000,1739438441497000000,3338337664
JVM.GC.collections,1739438381445000000,1739438441497000000,57
JVM.maxHeapBytes,1739438381445000000,1739438441497000000,2147483648
JVM.threadCount,1739438381445000000,1739438441497000000,258
OS.loadAverage,1739438381445000000,1739438441497000000,2.73291015625
lexer.XML.size.bytes,1739438381445000000,1739438441497000000,1282
parser.XML.time.ns,1739438381445000000,1739438441497000000,347670
parser.JAVA.time.ns,1739438381445000000,1739438441497000000,192051729
writeAction.wait.ms,1739438381445000000,1739438441497000000,438
parser.TOML.size.bytes,1739438381445000000,1739438441497000000,1294
lexer.XML.time.ns,1739438381445000000,1739438441497000000,370000
writeAction.median.wait.ms,1739438381445000000,1739438441497000000,300
writeAction.max.wait.ms,1739438381445000000,1739438441497000000,210
parser.XML.size.bytes,1739438381445000000,1739438441497000000,1282
lexer.JAVA.time.ns,1739438381445000000,1739438441497000000,4592053
lexer.JAVA.size.bytes,1739438381445000000,1739438441497000000,12021
parser.TOML.time.ns,1739438381445000000,1739438441497000000,7835843
writeAction.count,1739438381445000000,1739438441497000000,32
parser.JAVA.size.bytes,1739438381445000000,1739438441497000000,12021
lexer.TOML.time.ns,1739438381445000000,1739438441497000000,257200
lexer.TOML.size.bytes,1739438381445000000,1739438441497000000,1294
FileNameCache.queries,1739438381445000000,1739438441497000000,8890304
VFS.contentStorage.recordsDecompressionTimeUs,1739438381445000000,1739438441497000000,159105
VFS.contentStorage.recordsReadSize,1739438381445000000,1739438441497000000,1774404
VFS.fileByIdCache.hits,1739438381445000000,1739438441497000000,0
VFS.contentStorage.recordsRead,1739438381445000000,1739438441497000000,177
VFS.invertedFileNameIndex.requests,1739438381445000000,1739438441497000000,4
VFS.contentStorage.recordsStoredCompressed,1739438381445000000,1739438441497000000,0
VFS.fileByIdCache.misses,1739438381445000000,1739438441497000000,213566
VFS.contentStorage.recordsStoredSize,1739438381445000000,1739438441497000000,0
VFS.contentStorage.recordsDeduplicated,1739438381445000000,1739438441497000000,0
VFS.contentStorage.recordsStored,1739438381445000000,1739438441497000000,0
VFS.fileChildByName,1739438381445000000,1739438441497000000,72097
VFS.contentStorage.recordsUncompressedSize,1739438381445000000,1739438441497000000,0
FileNameCache.totalMisses,1739438381445000000,1739438441497000000,307456
VFS.contentStorage.recordsReadDecompressed,1739438381445000000,1739438441497000000,17
FilePageCache.pageHits,1739438381445000000,1739438441497000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1739438381445000000,1739438441497000000,16969709
MappedFileStorage.totalPagesMapped,1739438381445000000,1739438441497000000,17
MappedFileStorage.storages,1739438381445000000,1739438441497000000,15
FilePageCache.disposedBuffers,1739438381445000000,1739438441497000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1739438381445000000,1739438441497000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1739438381445000000,1739438441497000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1739438381445000000,1739438441497000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1739438381445000000,1739438441497000000,3182889
DirectByteBufferAllocator.misses,1739438381445000000,1739438441497000000,225
FilePageCacheLockFree.nativeBytesInUse,1739438381445000000,1739438441497000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1739438381445000000,1739438441497000000,0
FilePageCacheLockFree.totalPagesWriteMs,1739438381445000000,1739438441497000000,0
FilePageCacheLockFree.totalBytesRead,1739438381445000000,1739438441497000000,0
FilePageCacheLockFree.totalPagesAllocated,1739438381445000000,1739438441497000000,0
FilePageCache.uncachedFileAccess,1739438381445000000,1739438441497000000,126
FilePageCacheLockFree.totalPagesHandedOver,1739438381445000000,1739438441497000000,0
FilePageCacheLockFree.totalPagesRequested,1739438381445000000,1739438441497000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1739438381445000000,1739438441497000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1739438381445000000,1739438441497000000,12708
FilePageCacheLockFree.heapBytesInUse,1739438381445000000,1739438441497000000,0
StorageLockContext.competingThreads.max,1739438381445000000,1739438441497000000,0
DirectByteBufferAllocator.hits,1739438381445000000,1739438441497000000,3
DirectByteBufferAllocator.disposed,1739438381445000000,1739438441497000000,0
MappedFileStorage.totalBytesMapped,1739438381445000000,1739438441497000000,219414528
FilePageCache.totalPageDisposalsUs,1739438381445000000,1739438441497000000,1854
FilePageCacheLockFree.totalClosedStoragesReclaimed,1739438381445000000,1739438441497000000,0
StreamlinedBlobStorage.recordsDeleted,1739438381445000000,1739438441497000000,13
FilePageCacheLockFree.totalBytesWritten,1739438381445000000,1739438441497000000,0
StorageLockContext.competingThreads.avg,1739438381445000000,1739438441497000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1739438381445000000,1739438441497000000,233848832
FilePageCache.pageFastCacheHits,1739438381445000000,1739438441497000000,5090
FilePageCacheLockFree.housekeeperTimeSpentMs,1739438381445000000,1739438441497000000,0
StorageLockContext.competingThreads.90P,1739438381445000000,1739438441497000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1739438381445000000,1739438441497000000,0
FilePageCache.pageLoads,1739438381445000000,1739438441497000000,228
StreamlinedBlobStorage.recordsAllocated,1739438381445000000,1739438441497000000,237824
