# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1739438771113000000,1739438793643000000,12
cacheStateStorage.get.counter,1739438771113000000,1739438793643000000,46
cacheStateStorage.set.duration,1739438771113000000,1739438793643000000,13
cacheStateStorage.get.duration,1739438771113000000,1739438793643000000,144
Indexes.stubs.lookupDurationMaxMs,1739438771113000000,1739438793643000000,0.0
Indexes.stubs.lookupDuration90PMs,1739438771113000000,1739438793643000000,0.0
Indexes.stubs.lookups,1739438771113000000,1739438793643000000,2324
Indexes.stubs.lookupDurationAvgMs,1739438771113000000,1739438793643000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1739438771113000000,1739438793643000000,0.0
Indexes.entries.lookupDurationAvgMs,1739438771113000000,1739438793643000000,0.0
Indexes.entries.lookupDurationMaxMs,1739438771113000000,1739438793643000000,0.0
Indexes.allKeys.lookups,1739438771113000000,1739438793643000000,0
Indexes.entries.lookups,1739438771113000000,1739438793643000000,143
Indexes.allKeys.lookupDuration90PMs,1739438771113000000,1739438793643000000,0.0
Indexes.entries.lookupDuration90PMs,1739438771113000000,1739438793643000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1739438771113000000,1739438793643000000,0.0
parser.JAVA.size.bytes,1739438771113000000,1739438793643000000,176239
lexer.TOML.time.ns,1739438771113000000,1739438793643000000,230940
lexer.HTML.time.ns,1739438771113000000,1739438793643000000,1970122
writeAction.count,1739438771113000000,1739438793643000000,35
lexer.TOML.size.bytes,1739438771113000000,1739438793643000000,1294
writeAction.median.wait.ms,1739438771113000000,1739438793643000000,300
lexer.JAVA.size.bytes,1739438771113000000,1739438793643000000,176239
parser.TOML.time.ns,1739438771113000000,1739438793643000000,39852886
parser.JAVA.time.ns,1739438771113000000,1739438793643000000,204605912
parser.TOML.size.bytes,1739438771113000000,1739438793643000000,1294
parser.HTML.size.bytes,1739438771113000000,1739438793643000000,2558
lexer.HTML.size.bytes,1739438771113000000,1739438793643000000,2558
lexer.XML.size.bytes,1739438771113000000,1739438793643000000,1282
parser.XML.time.ns,1739438771113000000,1739438793643000000,5173722
writeAction.max.wait.ms,1739438771113000000,1739438793643000000,234
lexer.XML.time.ns,1739438771113000000,1739438793643000000,393820
writeAction.wait.ms,1739438771113000000,1739438793643000000,562
parser.HTML.time.ns,1739438771113000000,1739438793643000000,5580712
parser.XML.size.bytes,1739438771113000000,1739438793643000000,1282
lexer.JAVA.time.ns,1739438771113000000,1739438793643000000,9381346
FilePageCacheLockFree.totalPagesAllocated,1739438771113000000,1739438793643000000,0
FilePageCache.pageLoads,1739438771113000000,1739438793643000000,243
FilePageCache.uncachedFileAccess,1739438771113000000,1739438793643000000,144
FilePageCacheLockFree.totalBytesWritten,1739438771113000000,1739438793643000000,0
FilePageCache.pageHits,1739438771113000000,1739438793643000000,0
StorageLockContext.competingThreads.max,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.nativeBytesInUse,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.totalPagesHandedOver,1739438771113000000,1739438793643000000,0
FilePageCache.maxRegisteredFiles,1739438771113000000,1739438793643000000,466
StorageLockContext.competingThreads.90P,1739438771113000000,1739438793643000000,0
DirectByteBufferAllocator.misses,1739438771113000000,1739438793643000000,240
FilePageCacheLockFree.totalPagesRequested,1739438771113000000,1739438793643000000,0
FilePageCache.capacityInBytes,1739438771113000000,1739438793643000000,503316478
FilePageCacheLockFree.totalBytesRequested,1739438771113000000,1739438793643000000,0
FilePageCache.totalPageLoadsUs,1739438771113000000,1739438793643000000,193933
FilePageCacheLockFree.totalPagesReclaimed,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.heapBytesInUse,1739438771113000000,1739438793643000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1739438771113000000,1739438793643000000,41967616
FilePageCacheLockFree.totalHeapBytesAllocated,1739438771113000000,1739438793643000000,0
DirectByteBufferAllocator.hits,1739438771113000000,1739438793643000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1739438771113000000,1739438793643000000,0
FilePageCache.totalPageDisposalsUs,1739438771113000000,1739438793643000000,4438
FileChannelInterruptsRetryer.totalRetriedAttempts,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1739438771113000000,1739438793643000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1739438771113000000,1739438793643000000,41967616
FilePageCacheLockFree.totalPagesReadMs,1739438771113000000,1739438793643000000,0
DirectByteBufferAllocator.disposed,1739438771113000000,1739438793643000000,197
DirectByteBufferAllocator.reclaimed,1739438771113000000,1739438793643000000,46
FilePageCacheLockFree.housekeeperTurnsDone,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.totalPagesWritten,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1739438771113000000,1739438793643000000,0
StorageLockContext.competingThreads.avg,1739438771113000000,1739438793643000000,0.0
FilePageCacheLockFree.housekeeperTimeSpentMs,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.totalBytesRead,1739438771113000000,1739438793643000000,0
FilePageCacheLockFree.totalPagesWriteMs,1739438771113000000,1739438793643000000,0
FilePageCache.maxCacheSizeInBytes,1739438771113000000,1739438793643000000,248537088
FilePageCacheLockFree.totalNativeBytesAllocated,1739438771113000000,1739438793643000000,0
FilePageCache.disposedBuffers,1739438771113000000,1739438793643000000,243
