# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalContentionQuotaSpent,1739438071858000000,1739438131865000000,0
Indexes.entries.lookupDurationAvgMs,1739438071858000000,1739438131865000000,1.9210526315789473
IndexesFlusher.totalFlushingTimeUs,1739438071858000000,1739438131865000000,23730
Indexes.stubs.lookupDurationMaxMs,1739438071858000000,1739438131865000000,88.0
Indexes.entries.lookupDuration90PMs,1739438071858000000,1739438131865000000,3.0
Indexes.stubs.lookupDuration90PMs,1739438071858000000,1739438131865000000,1.0
Indexes.allKeys.lookups,1739438071858000000,1739438131865000000,0
IndexesFlusher.totalFlushes,1739438071858000000,1739438131865000000,59
Indexes.entries.lookups,1739438071858000000,1739438131865000000,38
Indexes.stubs.lookups,1739438071858000000,1739438131865000000,1924
Indexes.entries.lookupDurationMaxMs,1739438071858000000,1739438131865000000,29.0
Indexes.allKeys.lookupDurationAvgMs,1739438071858000000,1739438131865000000,0.0
Indexes.allKeys.lookupDuration90PMs,1739438071858000000,1739438131865000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1739438071858000000,1739438131865000000,0.0
Indexes.stubs.lookupDurationAvgMs,1739438071858000000,1739438131865000000,0.5938796680497925
IndexesFlusher.totalFlushesRetried,1739438071858000000,1739438131865000000,0
lexer.XML.time.ns,1739438071858000000,1739438131865000000,456660
writeAction.max.wait.ms,1739438071858000000,1739438131865000000,133
parser.XML.time.ns,1739438071858000000,1739438131865000000,6900013
parser.XML.size.bytes,1739438071858000000,1739438131865000000,1282
parser.JAVA.size.bytes,1739438071858000000,1739438131865000000,176625
lexer.TOML.size.bytes,1739438071858000000,1739438131865000000,1294
parser.JAVA.time.ns,1739438071858000000,1739438131865000000,207063296
writeAction.wait.ms,1739438071858000000,1739438131865000000,356
writeAction.count,1739438071858000000,1739438131865000000,32
parser.TOML.time.ns,1739438071858000000,1739438131865000000,6560212
parser.TOML.size.bytes,1739438071858000000,1739438131865000000,1294
parser.HTML.time.ns,1739438071858000000,1739438131865000000,1692820
lexer.JAVA.time.ns,1739438071858000000,1739438131865000000,17812837
writeAction.median.wait.ms,1739438071858000000,1739438131865000000,200
lexer.TOML.time.ns,1739438071858000000,1739438131865000000,249100
parser.HTML.size.bytes,1739438071858000000,1739438131865000000,1279
lexer.XML.size.bytes,1739438071858000000,1739438131865000000,1282
lexer.HTML.size.bytes,1739438071858000000,1739438131865000000,1279
lexer.HTML.time.ns,1739438071858000000,1739438131865000000,1160321
lexer.JAVA.size.bytes,1739438071858000000,1739438131865000000,176625
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1739438071858000000,1739438131865000000,5139
workspaceModel.initializing.ms,1739438071858000000,1739438131865000000,1
workspaceModel.replace.project.model.ms,1739438071858000000,1739438131865000000,2
workspaceModel.cachedValueWithParameters.calculated.count,1739438071858000000,1739438131865000000,0
