# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalTimeAtSafepointsMs,1739437952134000000,1739438012146000000,337
JVM.totalCpuTimeMs,1739437952134000000,1739438012146000000,110875
JVM.newThreadsCount,1739437952134000000,1739438012146000000,280
JVM.maxHeapBytes,1739437952134000000,1739438012146000000,2147483648
JVM.threadCount,1739437952134000000,1739438012146000000,256
JVM.GC.collectionTimesMs,1739437952134000000,1739438012146000000,317
JVM.totalBytesAllocated,1739437952134000000,1739438012146000000,5128152736
JVM.usedNativeBytes,1739437952134000000,1739438012146000000,565182408
JVM.totalSafepointCount,1739437952134000000,1739438012146000000,272
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1739437952134000000,1739438012146000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1739437952134000000,1739438012146000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1739437952134000000,1739438012146000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1739437952134000000,1739438012146000000,0
compiler.ArtifactManagerBridge.commit.ms,1739437952134000000,1739438012146000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1739437952134000000,1739438012146000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1739437952134000000,1739438012146000000,0
FilePageCacheLockFree.totalPagesAllocated,1739437952134000000,1739438012146000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1739437952134000000,1739438012146000000,0
FilePageCacheLockFree.heapBytesInUse,1739437952134000000,1739438012146000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1739437952134000000,1739438012146000000,0
FilePageCache.disposedBuffers,1739437952134000000,1739438012146000000,3
FilePageCacheLockFree.totalPagesHandedOver,1739437952134000000,1739438012146000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1739437952134000000,1739438012146000000,0
FilePageCache.pageHits,1739437952134000000,1739438012146000000,10
FilePageCacheLockFree.totalPagesWritten,1739437952134000000,1739438012146000000,0
StorageLockContext.competingThreads.max,1739437952134000000,1739438012146000000,0
